Size(Bytes),ThreadsPerBlock,Blocks,Bandwidth(GB/s)
1024,32,1,0.24
1024,32,2,0.24
1024,32,4,0.24
1024,32,8,0.23
1024,32,16,0.26
1024,32,32,0.27
1024,64,1,0.30
1024,64,2,0.26
1024,64,4,0.26
1024,64,8,0.26
1024,64,16,0.26
1024,64,32,0.25
1024,128,1,0.27
1024,128,2,0.27
1024,128,4,0.27
1024,128,8,0.27
1024,128,16,0.27
1024,128,32,0.27
1024,256,1,0.28
1024,256,2,0.28
1024,256,4,0.28
1024,256,8,0.28
1024,256,16,0.28
1024,256,32,0.28
1024,512,1,0.27
1024,512,2,0.28
1024,512,4,0.30
1024,512,8,0.30
1024,512,16,0.28
1024,512,32,0.28
1024,1024,1,0.28
1024,1024,2,0.28
1024,1024,4,0.28
1024,1024,8,0.28
1024,1024,16,0.28
1024,1024,32,0.28
4096,32,1,0.64
4096,32,2,0.64
4096,32,4,0.63
4096,32,8,0.64
4096,32,16,0.64
4096,32,32,0.64
4096,64,1,0.82
4096,64,2,0.82
4096,64,4,0.73
4096,64,8,0.86
4096,64,16,0.96
4096,64,32,0.96
4096,128,1,0.94
4096,128,2,0.95
4096,128,4,0.95
4096,128,8,0.94
4096,128,16,0.95
4096,128,32,0.95
4096,256,1,1.03
4096,256,2,1.03
4096,256,4,1.03
4096,256,8,1.03
4096,256,16,1.02
4096,256,32,1.02
4096,512,1,1.07
4096,512,2,1.06
4096,512,4,1.06
4096,512,8,1.03
4096,512,16,1.22
4096,512,32,1.19
4096,1024,1,1.20
4096,1024,2,1.08
4096,1024,4,1.08
4096,1024,8,0.06
4096,1024,16,1.08
4096,1024,32,1.07
16384,32,1,1.12
16384,32,2,1.45
16384,32,4,1.45
16384,32,8,1.45
16384,32,16,1.45
16384,32,32,1.45
16384,64,1,2.23
16384,64,2,2.23
16384,64,4,2.24
16384,64,8,2.21
16384,64,16,2.23
16384,64,32,2.24
16384,128,1,3.11
16384,128,2,3.09
16384,128,4,2.77
16384,128,8,2.54
16384,128,16,2.57
16384,128,32,2.56
16384,256,1,3.22
16384,256,2,3.24
16384,256,4,3.23
16384,256,8,3.24
16384,256,16,3.24
16384,256,32,3.21
16384,512,1,3.74
16384,512,2,3.73
16384,512,4,3.72
16384,512,8,3.72
16384,512,16,3.71
16384,512,32,3.35
16384,1024,1,4.26
16384,1024,2,4.50
16384,1024,4,4.49
16384,1024,8,4.03
16384,1024,16,4.00
16384,1024,32,3.99
65536,32,1,1.29
65536,32,2,1.29
65536,32,4,1.29
65536,32,8,1.29
65536,32,16,1.28
65536,32,32,1.29
65536,64,1,2.32
65536,64,2,2.32
65536,64,4,2.32
65536,64,8,2.31
65536,64,16,2.32
65536,64,32,2.34
65536,128,1,3.87
65536,128,2,3.86
65536,128,4,3.54
65536,128,8,4.21
65536,128,16,4.36
65536,128,32,4.38
65536,256,1,6.83
65536,256,2,6.80
65536,256,4,6.73
65536,256,8,5.92
65536,256,16,5.98
65536,256,32,5.88
65536,512,1,7.95
65536,512,2,8.11
65536,512,4,8.23
65536,512,8,8.09
65536,512,16,8.09
65536,512,32,7.96
65536,1024,1,9.73
65536,1024,2,9.54
65536,1024,4,9.64
65536,1024,8,9.54
65536,1024,16,9.41
65536,1024,32,8.80
262144,32,1,1.94
262144,32,2,1.94
262144,32,4,1.96
262144,32,8,1.96
262144,32,16,1.96
262144,32,32,1.97
262144,64,1,0.17
262144,64,2,3.11
262144,64,4,3.12
262144,64,8,3.28
262144,64,16,3.28
262144,64,32,2.69
262144,128,1,5.12
262144,128,2,5.16
262144,128,4,5.09
262144,128,8,5.14
262144,128,16,5.08
262144,128,32,6.94
262144,256,1,12.22
262144,256,2,9.68
262144,256,4,9.21
262144,256,8,9.27
262144,256,16,9.21
262144,256,32,9.22
262144,512,1,15.31
262144,512,2,15.24
262144,512,4,15.19
262144,512,8,15.28
262144,512,16,15.12
262144,512,32,15.48
262144,1024,1,22.72
262144,1024,2,23.43
262144,1024,4,24.45
262144,1024,8,24.14
262144,1024,16,24.36
262144,1024,32,22.78
1048576,32,1,1.82
1048576,32,2,2.02
1048576,32,4,2.02
1048576,32,8,2.02
1048576,32,16,2.02
1048576,32,32,2.02
1048576,64,1,3.95
1048576,64,2,3.95
1048576,64,4,3.96
1048576,64,8,3.94
1048576,64,16,3.92
1048576,64,32,3.92
1048576,128,1,7.72
1048576,128,2,7.72
1048576,128,4,7.73
1048576,128,8,7.74
1048576,128,16,7.73
1048576,128,32,7.71
1048576,256,1,14.63
1048576,256,2,14.77
1048576,256,4,14.84
1048576,256,8,14.82
1048576,256,16,11.38
1048576,256,32,13.16
1048576,512,1,24.24
1048576,512,2,24.15
1048576,512,4,20.01
1048576,512,8,20.03
1048576,512,16,19.92
1048576,512,32,19.97
1048576,1024,1,35.17
1048576,1024,2,35.15
1048576,1024,4,35.20
1048576,1024,8,35.07
1048576,1024,16,34.88
1048576,1024,32,35.03
4194304,32,1,0.97
4194304,32,2,1.01
4194304,32,4,1.01
4194304,32,8,1.01
4194304,32,16,1.01
4194304,32,32,1.01
4194304,64,1,1.97
4194304,64,2,2.00
4194304,64,4,2.01
4194304,64,8,2.01
4194304,64,16,2.01
4194304,64,32,2.00
4194304,128,1,3.95
4194304,128,2,3.95
4194304,128,4,3.95
4194304,128,8,3.95
4194304,128,16,3.96
4194304,128,32,3.95
4194304,256,1,7.71
4194304,256,2,7.72
4194304,256,4,7.72
4194304,256,8,7.73
4194304,256,16,7.72
4194304,256,32,7.72
4194304,512,1,14.61
4194304,512,2,14.61
4194304,512,4,14.61
4194304,512,8,12.03
4194304,512,16,11.99
4194304,512,32,12.03
4194304,1024,1,21.86
4194304,1024,2,21.78
4194304,1024,4,21.88
4194304,1024,8,21.49
4194304,1024,16,26.21
4194304,1024,32,25.84
16777216,32,1,1.01
16777216,32,2,1.01
16777216,32,4,1.01
16777216,32,8,1.01
16777216,32,16,1.01
16777216,32,32,1.01
16777216,64,1,2.01
16777216,64,2,2.01
16777216,64,4,2.01
16777216,64,8,2.01
16777216,64,16,2.01
16777216,64,32,1.97
16777216,128,1,3.98
16777216,128,2,3.97
16777216,128,4,3.97
16777216,128,8,3.97
16777216,128,16,3.97
16777216,128,32,3.97
16777216,256,1,7.83
16777216,256,2,7.84
16777216,256,4,7.84
16777216,256,8,7.84
16777216,256,16,7.84
16777216,256,32,7.84
16777216,512,1,15.07
16777216,512,2,15.07
16777216,512,4,15.08
16777216,512,8,15.06
16777216,512,16,15.02
16777216,512,32,15.06
16777216,1024,1,27.68
16777216,1024,2,27.65
16777216,1024,4,27.74
16777216,1024,8,27.64
16777216,1024,16,24.10
16777216,1024,32,27.74
67108864,32,1,1.01
67108864,32,2,1.01
67108864,32,4,1.01
67108864,32,8,1.01
67108864,32,16,1.01
67108864,32,32,1.01
67108864,64,1,2.01
67108864,64,2,2.01
67108864,64,4,2.01
67108864,64,8,2.01
67108864,64,16,2.01
67108864,64,32,2.01
67108864,128,1,3.99
67108864,128,2,3.99
67108864,128,4,3.98
67108864,128,8,3.99
67108864,128,16,3.98
67108864,128,32,3.99
67108864,256,1,7.88
67108864,256,2,7.75
67108864,256,4,7.89
67108864,256,8,7.88
67108864,256,16,7.88
67108864,256,32,7.88
67108864,512,1,15.24
67108864,512,2,15.24
67108864,512,4,15.23
67108864,512,8,15.23
67108864,512,16,15.23
67108864,512,32,15.23
67108864,1024,1,28.34
67108864,1024,2,28.35
67108864,1024,4,28.36
67108864,1024,8,28.37
67108864,1024,16,28.36
67108864,1024,32,28.37
134217728,32,1,1.01
134217728,32,2,1.01
134217728,32,4,1.01
134217728,32,8,1.01
134217728,32,16,1.01
134217728,32,32,1.00
134217728,64,1,2.01
134217728,64,2,2.01
134217728,64,4,2.01
134217728,64,8,2.01
134217728,64,16,2.01
134217728,64,32,1.95
134217728,128,1,3.99
134217728,128,2,3.98
134217728,128,4,3.98
134217728,128,8,3.98
134217728,128,16,3.98
134217728,128,32,3.98
134217728,256,1,7.85
134217728,256,2,7.84
134217728,256,4,7.85
134217728,256,8,7.85
134217728,256,16,7.85
134217728,256,32,7.85
134217728,512,1,15.15
134217728,512,2,15.13
134217728,512,4,15.09
134217728,512,8,15.11
134217728,512,16,15.09
134217728,512,32,15.09
134217728,1024,1,27.92
134217728,1024,2,27.93
134217728,1024,4,27.92
134217728,1024,8,27.94
134217728,1024,16,27.93
134217728,1024,32,27.92
268435456,32,1,1.01
268435456,32,2,1.01
268435456,32,4,1.01
268435456,32,8,1.00
268435456,32,16,1.01
268435456,32,32,1.01
268435456,64,1,2.01
268435456,64,2,2.01
268435456,64,4,2.01
268435456,64,8,2.01
268435456,64,16,2.01
268435456,64,32,2.01
268435456,128,1,3.99
268435456,128,2,3.99
268435456,128,4,3.99
268435456,128,8,3.99
268435456,128,16,3.99
268435456,128,32,3.99
268435456,256,1,7.88
268435456,256,2,7.87
268435456,256,4,7.88
268435456,256,8,7.88
268435456,256,16,7.88
268435456,256,32,7.88
268435456,512,1,2.74
268435456,512,2,15.21
268435456,512,4,15.20
268435456,512,8,15.22
268435456,512,16,15.20
268435456,512,32,15.21
268435456,1024,1,28.18
268435456,1024,2,28.19
268435456,1024,4,28.23
268435456,1024,8,28.18
268435456,1024,16,28.17
268435456,1024,32,28.20
1073741824,32,1,1.01
1073741824,32,2,1.01
1073741824,32,4,1.01
1073741824,32,8,1.01
1073741824,32,16,0.95
1073741824,32,32,1.01
1073741824,64,1,2.01
1073741824,64,2,2.01
1073741824,64,4,2.01
1073741824,64,8,2.01
1073741824,64,16,2.01
1073741824,64,32,2.01
1073741824,128,1,3.99
1073741824,128,2,3.99
1073741824,128,4,3.99
1073741824,128,8,3.99
1073741824,128,16,3.99
1073741824,128,32,3.99
1073741824,256,1,7.88
1073741824,256,2,7.88
1073741824,256,4,7.88
1073741824,256,8,7.88
1073741824,256,16,7.87
1073741824,256,32,7.88
1073741824,512,1,15.27
1073741824,512,2,15.26
1073741824,512,4,15.27
1073741824,512,8,15.27
1073741824,512,16,15.26
1073741824,512,32,15.26
1073741824,1024,1,28.33
1073741824,1024,2,28.36
1073741824,1024,4,28.36
1073741824,1024,8,28.33
1073741824,1024,16,28.35
1073741824,1024,32,5.52
